,train_loss,val_loss
362,2.485384258907288e-06,2.258214754983783e-06
363,6.728407088667155e-07,2.259357578586787e-06
364,2.106112476903945e-06,2.257973193190992e-06
365,1.8677953505539335e-06,2.258405128959566e-06
366,1.7787839859374798e-06,2.2572443331591786e-06
367,1.807058247795794e-06,2.258167369291186e-06
368,2.487468619365245e-06,2.2568184742704034e-06
369,6.635993917007e-07,2.2554924176074566e-06
370,1.58557437825948e-07,2.257145885378122e-06
371,1.4334126783069223e-06,2.2548213182017205e-06
372,9.621738456189632e-08,2.256412396673113e-06
373,4.89185274054762e-07,2.255723630078137e-06
374,1.9482528732623906e-06,2.2581057040952145e-06
375,2.7240570518188177e-07,2.255630800500512e-06
376,1.3934532413259149e-07,2.255334975197911e-06
377,2.3448358944733626e-06,2.2548105497844517e-06
378,1.3236994680482895e-06,2.2552005667239427e-06
379,8.669865649426356e-07,2.254054951481521e-06
380,1.309722664882429e-06,2.254177248105407e-06
381,2.2478406081791037e-06,2.2533513675443828e-06
382,6.535216106567531e-07,2.254057617392391e-06
383,3.8720838434528557e-07,2.254080877173692e-06
384,8.278097928268835e-07,2.253015621099621e-06
385,1.991028243210167e-06,2.2539099166169764e-06
386,1.7183562120771966e-06,2.2526443586684763e-06
387,1.7468190856743604e-06,2.252265983261168e-06
388,1.7758055907324888e-06,2.2518699732609092e-06
389,1.0764508898137137e-06,2.2523758048191665e-06
390,1.2085747037781401e-06,2.253344696946442e-06
391,2.480478539073374e-06,2.251385843846947e-06
392,1.339179238420911e-06,2.252226632554084e-06
393,6.314972281688824e-07,2.251298734918237e-06
394,1.0281421453692018e-06,2.251080076675862e-06
395,2.173755402327515e-06,2.2499211551621556e-06
396,2.3975746316136793e-06,2.2486170032061635e-06
397,1.854356597759761e-06,2.2487769438885154e-06
398,1.7599742705351672e-06,2.247642590664327e-06
399,5.674610927235335e-07,2.247273498214781e-06
400,1.1985165177611634e-06,2.2480592364445327e-06
401,2.2569905821001156e-06,2.245950064389035e-06
402,2.4958553380565717e-06,2.246953066205606e-06
403,1.2651724187890068e-06,2.245705603854731e-06
404,1.4173381211003288e-06,2.2463822225108743e-06
405,1.6412576168659142e-06,2.2451744112186134e-06
406,2.798571763560176e-07,2.244906909763813e-06
407,7.787496980745346e-07,2.2446151089388876e-06
408,9.460898899124004e-07,2.2436915896832944e-06
409,5.308508075540885e-07,2.243999761994928e-06
410,2.28003744414309e-06,2.2444047511089594e-06
411,2.4680161057040095e-06,2.2474444820545613e-06
412,4.653808195143938e-07,2.2447808901779354e-06
413,2.0167503526317885e-06,2.249671402387321e-06
414,2.0582874593674206e-06,2.2476675547659396e-06
415,5.365774245001375e-07,2.2495365212671458e-06
416,1.3494753709528595e-06,2.2478952468372883e-06
417,1.781754530966282e-06,2.2487692162394525e-06
418,1.5930006356211378e-06,2.2499567503109573e-06
419,8.058909833198413e-07,2.248061040882021e-06
420,1.4275701198494061e-06,2.2461099084466696e-06
421,2.2985099779907615e-06,2.2448627871926874e-06
422,8.336748773581348e-07,2.248700798954815e-06
423,5.926053487928584e-07,2.249070885591209e-06
424,2.2281188727356496e-06,2.2443851875141263e-06
425,1.4846062505966985e-06,2.2454675333574413e-06
426,8.023955652606673e-07,2.2445249848533423e-06
427,1.8671593040926382e-06,2.24541864474304e-06
428,3.4614169271662835e-08,2.244001205544919e-06
429,1.633283798582852e-08,2.245898862602189e-06
430,2.041401120950468e-06,2.2477393643930556e-06
431,1.35423326282762e-07,2.24373385659419e-06
432,1.4004763183766044e-06,2.2459893603809176e-06
433,1.708148960606195e-06,2.2434014989994465e-06
434,2.266780538484454e-06,2.2451095189899205e-06
